Harga,LuasTanah,LuasBangunan,JumlahKamarTidur,JumlahKamarMandi,Garasi,Kota
3500000000.0,100,156,5,4,ADA,JAKSEL
15500000000.0,340,500,4,4,ADA,JAKSEL
6900000000.0,188,350,3,3,TIDAK ADA,JAKSEL
16000000000.0,407,575,5,4,ADA,JAKSEL
11900000000.0,241,571,4,5,ADA,JAKSEL
7500000000.0,188,351,3,3,ADA,JAKSEL
40000000000.0,1500,700,4,4,ADA,JAKSEL
12500000000.0,371,300,4,4,TIDAK ADA,JAKSEL
11000000000.0,438,540,8,4,TIDAK ADA,JAKSEL
55000000000.0,1500,1200,6,6,ADA,JAKSEL
12000000000.0,512,350,3,4,TIDAK ADA,JAKSEL
6500000000.0,230,400,4,4,ADA,JAKSEL
13940000000.0,539,610,4,4,TIDAK ADA,JAKSEL
5700000000.0,168,170,3,3,TIDAK ADA,JAKSEL
8000000000.0,350,350,10,5,TIDAK ADA,JAKSEL
6900000000.0,128,315,3,3,TIDAK ADA,JAKSEL
8000000000.0,190,420,4,4,ADA,JAKSEL
5500000000.0,107,311,4,3,ADA,JAKSEL
10700000000.0,400,300,4,3,ADA,JAKSEL
21000000000.0,1042,552,5,4,ADA,JAKSEL
6500000000.0,200,300,4,4,ADA,JAKSEL
16000000000.0,447,500,4,4,ADA,JAKSEL
13500000000.0,385,525,5,4,ADA,JAKSEL
15750000000.0,1060,375,3,2,ADA,JAKSEL
23000000000.0,558,553,8,6,ADA,JAKSEL
21000000000.0,1042,550,7,6,ADA,JAKSEL
19300000000.0,1287,700,5,3,ADA,JAKSEL
4300000000.0,124,187,3,3,ADA,JAKSEL
20000000000.0,550,650,4,4,ADA,JAKSEL
9550000000.0,251,288,4,4,TIDAK ADA,JAKSEL
22000000000.0,455,570,4,5,ADA,JAKSEL
23000000000.0,650,600,5,5,ADA,JAKSEL
55000000000.0,1500,1000,5,6,ADA,JAKSEL
17500000000.0,430,820,5,6,ADA,JAKSEL
8000000000.0,299,400,4,4,ADA,JAKSEL
4600000000.0,109,180,2,3,ADA,JAKSEL
15000000000.0,714,750,5,5,ADA,JAKSEL
18000000000.0,600,400,6,6,ADA,JAKSEL
1370000000.0,425,216,4,4,TIDAK ADA,JAKSEL
21000000000.0,1100,700,5,4,TIDAK ADA,JAKSEL
12000000000.0,315,609,5,4,ADA,JAKSEL
24300000000.0,1944,1944,5,4,ADA,JAKSEL
8000000000.0,380,450,5,5,ADA,JAKSEL
18900000000.0,470,660,4,4,TIDAK ADA,JAKSEL
3200000000.0,78,65,3,2,ADA,JAKSEL
21900000000.0,377,260,6,5,ADA,JAKSEL
5600000000.0,269,300,4,4,ADA,JAKSEL
5000000000.0,176,400,5,2,ADA,JAKSEL
15000000000.0,714,750,5,5,ADA,JAKSEL
4800000000.0,276,200,4,3,ADA,JAKSEL
17000000000.0,663,530,7,8,ADA,JAKSEL
7800000000.0,250,300,4,4,ADA,JAKSEL
15000000000.0,755,416,7,6,ADA,JAKSEL
13500000000.0,384,450,4,4,ADA,JAKSEL
26500000000.0,1047,500,5,3,ADA,JAKSEL
7500000000.0,170,300,4,3,ADA,JAKSEL
11900000000.0,239,568,4,4,ADA,JAKSEL
17500000000.0,477,520,4,3,ADA,JAKSEL
15500000000.0,633,530,5,3,ADA,JAKSEL
5500000000.0,188,314,4,4,ADA,JAKSEL
9900000000.0,741,411,5,5,ADA,JAKSEL
8650000000.0,225,518,4,4,ADA,JAKSEL
3650000000.0,78,185,3,3,ADA,JAKSEL
18500000000.0,660,600,5,4,ADA,JAKSEL
3600000000.0,164,150,4,4,ADA,JAKSEL
3400000000.0,95,156,4,3,ADA,JAKSEL
18000000000.0,786,1000,6,7,ADA,JAKSEL
17900000000.0,450,400,4,3,ADA,JAKSEL
4500000000.0,124,184,3,3,TIDAK ADA,JAKSEL
4500000000.0,300,235,4,4,ADA,JAKSEL
18000000000.0,600,500,6,6,ADA,JAKSEL
15000000000.0,741,750,5,5,ADA,JAKSEL
8000000000.0,380,450,5,5,ADA,JAKSEL
18900000000.0,470,660,4,4,TIDAK ADA,JAKSEL
21900000000.0,377,260,6,5,ADA,JAKSEL
5600000000.0,269,300,4,4,ADA,JAKSEL
4000000000.0,117,221,4,3,ADA,JAKSEL
20980000000.0,959,455,6,5,ADA,JAKSEL
3400000000.0,95,156,4,3,ADA,JAKSEL
25000000000.0,1100,550,5,4,ADA,JAKSEL
11500000000.0,400,416,5,3,ADA,JAKSEL
11510000000.0,233,544,7,7,TIDAK ADA,JAKSEL
3600000000.0,78,185,4,4,TIDAK ADA,JAKSEL
15000000000.0,250,460,4,4,ADA,JAKSEL
17500000000.0,518,450,5,7,ADA,JAKSEL
4000000000.0,117,221,4,3,ADA,JAKSEL
8000000000.0,350,350,2,1,TIDAK ADA,JAKSEL
20000000000.0,550,600,5,5,ADA,JAKSEL
30000000000.0,555,527,8,6,ADA,JAKSEL
27000000000.0,670,650,4,4,ADA,JAKSEL
20000000000.0,1040,600,4,3,ADA,JAKSEL
15750000000.0,598,243,4,4,ADA,JAKSEL
34500000000.0,974,800,5,6,ADA,JAKSEL
4300000000.0,124,184,3,3,ADA,JAKSEL
8500000000.0,230,310,5,3,TIDAK ADA,JAKSEL
9500000000.0,225,400,3,3,ADA,JAKSEL
19000000000.0,520,500,5,5,ADA,JAKSEL
13000000000.0,208,458,4,3,ADA,JAKSEL
11900000000.0,239,568,4,4,ADA,JAKSEL
13000000000.0,616,600,5,4,ADA,JAKSEL
20000000000.0,890,600,5,5,ADA,JAKSEL
7500000000.0,186,380,3,3,ADA,JAKSEL
6150000000.0,158,400,3,3,ADA,JAKSEL
10500000000.0,500,700,4,4,ADA,JAKSEL
13500000000.0,384,450,4,4,ADA,JAKSEL
55000000000.0,1475,1200,5,6,ADA,JAKSEL
19000000000.0,358,635,4,5,ADA,JAKSEL
13900000000.0,450,248,4,4,ADA,JAKSEL
29500000000.0,923,429,9,5,TIDAK ADA,JAKSEL
22000000000.0,455,570,4,5,ADA,JAKSEL
60000000000.0,1500,1200,6,6,ADA,JAKSEL
13000000000.0,314,450,4,4,ADA,JAKSEL
16000000000.0,895,420,5,5,ADA,JAKSEL
18000000000.0,968,600,4,3,ADA,JAKSEL
30000000000.0,1000,800,5,6,ADA,JAKSEL
47000000000.0,1375,1400,5,5,ADA,JAKSEL
6000000000.0,206,300,4,4,ADA,JAKSEL
9550000000.0,251,288,4,5,TIDAK ADA,JAKSEL
32000000000.0,973,1100,5,5,ADA,JAKSEL
19000000000.0,435,650,4,4,ADA,JAKSEL
55000000000.0,1500,1200,6,6,ADA,JAKSEL
17000000000.0,624,557,6,5,TIDAK ADA,JAKSEL
19000000000.0,870,700,6,4,ADA,JAKSEL
14700000000.0,474,455,4,5,ADA,JAKSEL
13800000000.0,260,360,6,5,ADA,JAKSEL
15000000000.0,450,400,4,3,TIDAK ADA,JAKSEL
10000000000.0,160,250,3,4,ADA,JAKSEL
6250000000.0,150,440,3,2,ADA,JAKSEL
7800000000.0,200,390,4,4,ADA,JAKSEL
6800000000.0,137,285,4,3,ADA,JAKSEL
15000000000.0,398,500,5,4,ADA,JAKSEL
19000000000.0,916,1000,5,7,TIDAK ADA,JAKSEL
6750000000.0,217,193,4,4,TIDAK ADA,JAKSEL
28000000000.0,330,300,3,3,ADA,JAKSEL
17000000000.0,921,310,3,3,ADA,JAKSEL
11900000000.0,260,365,4,4,ADA,JAKSEL
9530000000.0,150,523,3,3,TIDAK ADA,JAKSEL
10400000000.0,282,280,4,3,ADA,JAKSEL
6500000000.0,138,290,4,3,ADA,JAKSEL
15000000000.0,658,500,3,3,ADA,JAKSEL
